GQE-optimized(best_so_far)/cx_count,GQE-optimized(best_so_far)/energy - R-CASCI,GQE-optimized(best_so_far)/energy - R-CCSD,GQE-optimized(best_so_far)/num_sampled_basis,GQE-optimized(best_so_far)/num_symmetry_preserving_basis,GQE-optimized(best_so_far)/subspace_dim,GQE-optimized(best_so_far)/total_gates,GQE-optimized/cx_count/max,GQE-optimized/energy/mean,GQE-optimized/energy/min,GQE-optimized/energy/std,GQE-optimized/subspace_dim/max,GQE-optimized/total_gates/max,Global-refined(best_so_far)/energy - R-CASCI,Global-refined(best_so_far)/energy - R-CCSD,Global-refined(best_so_far)/subspace_dim,Local-refined(best_so_far)/energy - R-CASCI,Local-refined(best_so_far)/energy - R-CCSD,Local-refined(best_so_far)/subspace_dim,epoch
4016,0.0021118004003710666,0.13785874475381377,111,111,200,7906,5472,-107.41008889986239,-107.44649210135132,0.0501205248307395,122,9470,0.0005752094099591432,0.13632215376340184,200,0.0006992285952378552,0.13644617294868056,200,0
4576,0.0019131031743171434,0.13766004752775984,91,91,192,8646,5312,-107.42043930408511,-107.44669079857738,0.02083419743588032,119,9358,0.0005742221223528077,0.1363211664757955,200,0.0006992285952378552,0.13644617294868056,200,1
4576,0.0019131031743171434,0.13766004752775984,91,91,192,8646,5504,-107.41883600614739,-107.44650200025671,0.03384359697314052,110,9664,0.0002380484917097192,0.13598499284515242,200,0.0006992285952378552,0.13644617294868056,200,2
4576,0.0019131031743171434,0.13766004752775984,91,91,192,8646,5352,-107.42193518810116,-107.446452508359,0.024984317386808376,104,9504,0.0002380484917097192,0.13598499284515242,200,0.0006992285952378552,0.13644617294868056,200,3
4128,0.001740251972918827,0.13748719632636153,117,117,200,8018,5408,-107.41769172591938,-107.44686364977878,0.04590053046438612,110,9568,0.00022504407368728607,0.13597198842712999,200,0.0006992285952378552,0.13644617294868056,200,4
4128,0.001740251972918827,0.13748719632636153,117,117,200,8018,5336,-107.42204933871753,-107.44670246846357,0.0317213834597559,109,9406,0.00017523099288041522,0.13592217534632312,200,0.0006992285952378552,0.13644617294868056,200,5
4128,0.001740251972918827,0.13748719632636153,117,117,200,8018,5320,-107.4219185412457,-107.44651030147796,0.026106284453446992,103,9390,0.00017523099288041522,0.13592217534632312,200,0.0006992285952378552,0.13644617294868056,200,6
4632,0.0017207425264444964,0.1374676868798872,116,116,200,8522,5472,-107.4271967286556,-107.44688315922525,0.02125233640987304,120,9472,0.00017523099288041522,0.13592217534632312,200,0.0006992285952378552,0.13644617294868056,200,7
4632,0.0017207425264444964,0.1374676868798872,116,116,200,8522,5184,-107.42617496411927,-107.44679678095908,0.025019277639545538,111,9248,0.00017523099288041522,0.13592217534632312,200,0.0006992285952378552,0.13644617294868056,200,8
4536,0.0015137117577666004,0.1372606561112093,109,109,200,8246,5152,-107.42758409231324,-107.44709018999393,0.03462598595721069,124,9312,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,9
4080,0.0013997224288573307,0.13714666678230003,100,100,200,7776,5632,-107.42938920198063,-107.44720417932284,0.021413123291271045,113,9534,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,10
4056,0.0012343451320049326,0.13698128948544763,107,107,193,7572,5216,-107.42697353235002,-107.44736955661969,0.023413744855200428,144,9196,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,11
3960,0.0009639531235876575,0.13671089747703036,99,99,200,7746,5144,-107.43196023741554,-107.44763994862811,0.015877548004283797,130,9124,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,12
4344,0.0008584499788355515,0.13660539433227825,107,107,200,8324,4744,-107.43167391499,-107.44774545177286,0.023741836915875482,122,8724,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,13
4208,0.0006856590087238601,0.13643260336216656,102,102,200,7994,5112,-107.43255542871795,-107.44791824274297,0.020235594474483122,116,9118,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,14
4208,0.0006856590087238601,0.13643260336216656,102,102,200,7994,5032,-107.42739572414665,-107.44784393997551,0.02281586971676501,135,8922,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,15
4392,0.0005695264396905486,0.13631647079313325,101,101,200,8192,4968,-107.43284955581944,-107.448034375312,0.014367986508495368,126,8836,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,16
4392,0.0005695264396905486,0.13631647079313325,101,101,200,8192,4848,-107.43201315010975,-107.447931712497,0.012572342407915809,149,8756,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,17
4392,0.0005695264396905486,0.13631647079313325,101,101,200,8192,4912,-107.43419201684776,-107.44799332129836,0.02132242850630149,134,8802,0.00017523099288041522,0.13592217534632312,200,0.0005778937195799472,0.13632483807302265,200,18
3936,0.0004632724220385853,0.13621021677548129,110,110,200,7646,5024,-107.43728054105628,-107.44814062932966,0.013171184131161326,153,9094,0.00017523099288041522,0.13592217534632312,200,0.00046664935454998613,0.1362135937079927,200,19
3712,0.00029567116318673925,0.13604261551662944,105,105,200,7422,4608,-107.4431313599223,-107.44830823058851,0.008040195836003862,157,8614,0.00017523099288041522,0.13592217534632312,200,0.00046664935454998613,0.1362135937079927,200,20
3712,0.00029567116318673925,0.13604261551662944,105,105,200,7422,4288,-107.44336672019304,-107.4483007099854,0.010460582353202918,155,8146,0.00017523099288041522,0.13592217534632312,200,0.00046664935454998613,0.1362135937079927,200,21
3712,0.00029567116318673925,0.13604261551662944,105,105,200,7422,3960,-107.44099879142036,-107.44830783622848,0.010647078066750791,173,7834,0.00017523099288041522,0.13592217534632312,200,0.00046664935454998613,0.1362135937079927,200,22
3712,0.00029567116318673925,0.13604261551662944,105,105,200,7422,4064,-107.44541478333518,-107.44830070998545,0.006437363403576012,200,7980,0.00017042213023898967,0.1359173664836817,200,0.00046664935454998613,0.1362135937079927,200,23
3712,0.00029567116318673925,0.13604261551662944,105,105,200,7422,4000,-107.4453359916327,-107.44830317786256,0.006666919259749362,199,7818,0.00017042213023898967,0.1359173664836817,200,0.00046664935454998613,0.1362135937079927,200,24
3712,0.00029567116318673925,0.13604261551662944,105,105,200,7422,3872,-107.44691826475653,-107.44830783622851,0.004711525149898428,200,7672,0.00017042213023898967,0.1359173664836817,200,0.0004576407490475276,0.13620458510249023,200,25
3904,0.0002889416172138226,0.13603588597065652,124,124,200,7614,4008,-107.44304378186028,-107.44831496013448,0.008633186676545555,197,7808,0.00017042213023898967,0.1359173664836817,200,0.0004576407490475276,0.13620458510249023,200,26
4128,0.00027781574483753957,0.13602476009828024,118,118,200,7838,4128,-107.44559459858252,-107.44832608600686,0.009125163396581579,179,7838,0.00017042213023898967,0.1359173664836817,200,0.0004576407490475276,0.13620458510249023,200,27
4128,0.00027781574483753957,0.13602476009828024,118,118,200,7838,4448,-107.44445311710726,-107.44832611045366,0.011035353068876149,195,8158,0.00017042213023898967,0.1359173664836817,200,0.0004576407490475276,0.13620458510249023,200,28
4224,0.00026125372131957647,0.13600819807476228,120,120,200,7934,4536,-107.44731681899142,-107.44834264803038,0.004149251555484065,193,8426,0.00017042213023898967,0.1359173664836817,200,0.00035442973641863773,0.13610137408986134,200,29
4224,0.00026125372131957647,0.13600819807476228,120,120,200,7934,4504,-107.44800520877462,-107.44834264803028,0.002047952059532185,200,8394,0.00017042213023898967,0.1359173664836817,200,0.00035442973641863773,0.13610137408986134,200,30
4224,0.00026125372131957647,0.13600819807476228,120,120,200,7934,4512,-107.4473350703909,-107.44834264803035,0.0039487577848379765,200,8312,0.00017042213023898967,0.1359173664836817,200,0.00035442973641863773,0.13610137408986134,200,31
4224,0.00026125372131957647,0.13600819807476228,120,120,200,7934,4384,-107.44724647885292,-107.44834264803039,0.005264853758059295,200,8184,0.00017042213023898967,0.1359173664836817,200,0.00035442973641863773,0.13610137408986134,200,32
